BD,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10,MD11,MD12,MD13,MD14,MD15,MD16,MD17,MD18,MD19,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP,IDMAP_1,IPCA_1,LAMP_1,LMDS_1,MDS_1,PBC_1,TSNE_1,UMAP_1
annealing,tabular,798,31,0.06452,0.13105,0.23684,0.67493,0.03824,0.02665,0.79486,0.28841,0.58044,0.01923,0.13866,-0.4517,3.24935,0.00242,0.00689,0.01975,0.06938,0.17015,0.25622,0.27275,0.16343,0.03738,0.00165,0.67952,0.28265,0.03153,0.00631,4.5,4.5,2.5,6.0,7.0,8.0,1.0,2.5,4.5,4.5,2.5,6.0,7.0,8.0,1.0,2.5
ar1,tabular,121,29,0.03448,0.21659,0.15702,2.62974,0.29392,0.5707,1.89699,5.58729,0.29452,26.0,0.16124,1.52569,6.42496,0.04435,0.2438,0.32727,0.19904,0.09008,0.04697,0.01777,0.01033,0.00771,0.01267,0.77948,0.17617,0.02245,0.0219,3.0,4.0,2.0,6.0,7.0,8.0,1.0,5.0,3.0,4.0,2.0,6.0,7.0,8.0,1.0,5.0
ar4,tabular,107,29,0.03448,0.14405,0.42991,2.97862,0.23832,0.35365,4.59888,30.8518,0.21671,0.02165,0.14714,2.15601,9.90609,0.1721,0.3696,0.27544,0.10615,0.03086,0.01887,0.00935,0.00141,0.00741,0.00882,0.81749,0.13878,0.02451,0.01922,1.0,3.0,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0,5.0,7.0,4.0,8.0,2.0,6.0
ar6,tabular,101,29,0.06897,0.22055,0.24752,2.51446,0.26254,0.40731,2.65894,11.4651,0.33274,0.03847,0.19614,1.0732,3.55459,0.0404,0.24158,0.28178,0.15663,0.08851,0.0705,0.04772,0.03564,0.02931,0.00792,0.74396,0.19327,0.05762,0.00515,1.0,4.5,3.0,7.0,8.0,6.0,2.0,4.5,1.0,4.5,3.0,7.0,8.0,6.0,2.0,4.5
arrhythmia,tabular,452,262,0.14504,0.50649,0.49558,1.50626,0.05249,0.13927,-0.33553,51.8579,0.29992,0.01573,0.12541,0.86595,3.81324,0.0201,0.18791,0.36717,0.23439,0.11165,0.05149,0.02213,0.00453,0.00054,0.00009,0.71522,0.23143,0.0451,0.00824,3.0,7.0,6.0,8.0,2.0,5.0,1.0,4.0,3.0,7.0,6.0,8.0,2.0,5.0,1.0,4.0
audiology,tabular,226,69,0.24638,0.02033,0.27434,0.33427,0.0112,0.0,0.0,0.0,0.6051,0.01727,0.13141,-0.52917,3.93604,0.00256,0.00421,0.01137,0.04696,0.12791,0.26108,0.31662,0.17589,0.04787,0.00555,0.70498,0.24916,0.03784,0.00802,3.0,7.0,5.0,8.0,4.0,6.0,1.0,2.0,3.0,7.0,5.0,8.0,4.0,6.0,1.0,2.0
australian,tabular,690,14,0.07143,0.20041,0.45652,1.87428,0.07255,181.0,4659.0,56.91,0.54779,0.02095,0.14473,-0.64064,3.45199,0.00519,0.02061,0.0389,0.07057,0.17984,0.30543,0.2535,0.11083,0.01452,0.00061,0.71662,0.22888,0.04764,0.00685,5.0,4.0,6.0,2.5,7.0,8.0,1.0,2.5,5.0,4.0,6.0,2.5,7.0,8.0,1.0,2.5
autoPrice,tabular,159,15,0.13333,0.02013,0.15723,3.68887,0.3207,0.36929,0.62824,0.88392,0.35673,0.01884,0.13728,0.33936,3.05141,0.01823,0.10214,0.25062,0.26113,0.21893,0.10453,0.03137,0.01154,0.00111,0.0004,0.68028,0.27609,0.04028,0.00334,2.0,6.0,5.0,8.0,3.0,7.0,1.0,4.0,2.0,6.0,5.0,8.0,3.0,7.0,1.0,4.0
autoUniv-au6-400,tabular,400,44,0.04545,0.09091,0.2875,1.94043,0.1089,0.03944,-0.25609,-0.35184,0.57263,0.01627,0.12757,-0.33103,2.99069,0.00025,0.00331,0.02108,0.07103,0.17967,0.28604,0.27789,0.13648,0.02321,0.00104,0.6794,0.27805,0.0396,0.00296,4.5,6.0,2.0,8.0,4.5,7.0,1.0,3.0,4.5,6.0,2.0,8.0,4.5,7.0,1.0,3.0
autoUniv-au7-500,tabular,500,18,0.05556,0.38778,244.0,0.98006,0.05107,0.04497,0.08715,-1.42642,0.64364,0.01751,0.13233,-0.58339,3.43198,0.00011,0.00245,0.01395,0.02891,0.09446,0.18866,0.31073,0.25885,0.09321,0.00867,0.68681,0.2681,0.0382,0.00689,3.5,5.0,3.5,6.0,2.0,7.5,1.0,7.5,3.5,5.0,3.5,6.0,2.0,7.5,1.0,7.5
badges2,tabular,294,10,0.3,0.2449,0.28231,1.52054,0.12415,0.0,1.60895,4.41872,0.45023,0.03226,0.1796,-0.56232,2.92041,0.07035,0.06023,0.03413,0.19445,0.1716,0.28416,0.13889,0.04065,0.00483,0.00072,0.68069,0.24915,0.07014,0.00002,2.0,6.5,6.5,5.0,3.0,8.0,1.0,4.0,2.0,6.5,6.5,5.0,3.0,8.0,1.0,4.0
bands,tabular,540,39,0.05128,0.09634,0.36296,1.99113,0.1764,0.13391,-0.02794,19.0242,0.42811,0.02797,0.16724,1.17321,3.65694,0.00044,0.01992,0.1674,0.37023,0.22409,0.06902,0.02248,0.07363,0.04923,0.00355,0.76108,0.14826,0.08981,0.00085,2.0,8.0,4.5,7.0,3.0,6.0,1.0,4.5,2.0,8.0,4.5,7.0,3.0,6.0,1.0,4.5
bank,tabular,2059,63,0.03175,0.69622,0.46333,0.61296,0.02081,0.38612,0.24622,3.3882,0.40057,0.09337,0.30557,0.11976,1.18031,0.23367,0.26633,0.00078,0.00023,0.01734,0.05912,0.1676,0.19012,0.06179,0.00302,0.5902,0.4098,0.0,0.0,4.0,7.0,5.0,6.0,2.0,8.0,1.0,3.0,4.0,7.0,5.0,6.0,2.0,8.0,1.0,3.0
base_1_10_10,tabular,500,10,0.9,0.0,26.0,0.0,0.0,0.1567,-0.15412,-0.22096,0.43911,0.01696,0.13025,-0.1638,3.03673,0.00424,0.04293,0.09631,0.21481,0.31738,0.22501,0.08042,0.01664,0.00206,0.00019,0.69254,0.2547,0.05105,0.00172,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0
base_1_2_10,tabular,500,10,0.9,0.0,22.0,0.0,0.0,0.1651,0.03154,-0.13825,0.43584,0.01813,0.13465,0.21838,2.88155,0.00157,0.02995,0.13091,0.24671,0.27937,0.19622,0.08503,0.0249,0.00484,0.0005,0.67434,0.28351,0.03985,0.0023,6.0,8.0,4.0,7.0,3.0,5.0,1.0,2.0,6.0,8.0,4.0,7.0,3.0,5.0,1.0,2.0
base_1_3_10,tabular,500,10,0.9,0.0,16.0,0.0,0.0,0.18371,0.06724,-0.18435,0.40346,0.01576,0.12553,0.15318,2.83906,0.00244,0.0466,0.16588,0.2793,0.28428,0.1596,0.05123,0.00943,0.00111,0.00012,0.67182,0.28695,0.03929,0.00193,4.5,7.0,4.5,8.0,3.0,6.0,1.0,2.0,4.5,7.0,4.5,8.0,3.0,6.0,1.0,2.0
base_1_4_10,tabular,500,10,0.9,0.0,22.0,0.0,0.0,0.27768,-0.01456,-0.36452,0.43882,0.02428,0.15582,-0.03861,2.38291,0.00572,0.06402,0.14556,0.1831,0.22852,0.21311,0.11978,0.03523,0.00467,0.00028,0.64349,0.32688,0.02939,0.00023,3.0,7.0,4.0,8.0,5.0,6.0,1.0,2.0,3.0,7.0,4.0,8.0,5.0,6.0,1.0,2.0
base_1_5_10,tabular,500,10,0.8,0.0,16.0,0.0,0.0,0.25509,0.01511,-0.58894,0.49412,0.02483,0.15757,-0.4072,2.5928,0.0024,0.04741,0.0984,0.10923,0.19392,0.27986,0.19623,0.0625,0.00939,0.00065,0.66811,0.29064,0.04117,0.00008,3.0,8.0,5.0,7.0,4.0,6.0,1.0,2.0,3.0,8.0,5.0,7.0,4.0,6.0,1.0,2.0
base_1_6_10,tabular,500,10,0.9,0.0,16.0,0.0,0.0,0.16901,0.08237,-0.31062,0.44134,0.01745,0.1321,-0.02825,2.84177,0.00268,0.03488,0.11215,0.22032,0.29585,0.22102,0.09012,0.02007,0.00277,0.00015,0.67706,0.27835,0.0432,0.00139,4.5,7.0,4.5,8.0,3.0,6.0,1.0,2.0,4.5,7.0,4.5,8.0,3.0,6.0,1.0,2.0
base_1_7_10,tabular,500,10,0.9,0.0,26.0,0.0,0.0,0.21932,0.01872,-0.30156,0.45021,0.01887,0.13736,-0.13474,2.78143,0.00325,0.04165,0.10154,0.19608,0.28604,0.23586,0.10689,0.02569,0.00281,0.00019,0.67685,0.27684,0.04564,0.00067,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0
base_1_8_10,tabular,500,10,0.9,0.0,0.01,0.0,0.0,0.18815,-0.1259,-0.52184,0.4722,0.01852,0.13607,-0.3133,2.98502,0.00236,0.03723,0.07848,0.14962,0.28628,0.28051,0.13097,0.03013,0.00417,0.00026,0.69262,0.2529,0.05373,0.00075,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0
base_1_9_10,tabular,500,10,0.9,0.0,24.0,0.0,0.0,0.17642,-0.14356,-0.23212,0.38861,0.01471,0.12127,-0.01688,2.97582,0.00714,0.06172,0.15788,0.30482,0.29312,0.13562,0.03438,0.00479,0.00051,0.00002,0.68628,0.26422,0.04783,0.00166,3.0,8.0,5.0,7.0,4.0,6.0,1.0,2.0,3.0,8.0,5.0,7.0,4.0,6.0,1.0,2.0
base_2_10_10,tabular,500,10,0.9,0.0,12.0,0.0,0.0,0.15135,-0.07329,-0.19319,0.42943,0.01672,0.12932,0.12485,3.00372,0.00302,0.03335,0.12174,0.25638,0.29994,0.19069,0.07303,0.01857,0.00305,0.00022,0.68441,0.26817,45,0.00242,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0
base_2_2_10,tabular,500,10,0.9,0.0,0.02,0.0,0.0,0.19189,-0.06636,-0.08495,0.38179,0.01626,0.12752,0.30354,2.94792,0.00466,0.06369,0.20893,0.29768,0.24584,0.12716,0.04224,0.00832,0.00134,0.00015,0.67368,0.28579,0.03744,0.00309,4.0,6.0,2.5,8.0,5.0,7.0,1.0,2.5,4.0,6.0,2.5,8.0,5.0,7.0,1.0,2.5
base_2_3_10,tabular,500,10,0.9,0.0,18.0,0.0,0.0,0.16316,-0.0827,-0.02521,0.42116,0.01734,0.13169,0.17637,2.8262,0.00197,0.03889,0.14677,0.25911,0.2793,0.18238,0.07143,0.01723,0.00261,0.0003,0.67143,0.28707,0.03944,0.00206,5.0,8.0,4.0,6.0,2.0,7.0,1.0,3.0,5.0,8.0,4.0,6.0,2.0,7.0,1.0,3.0
base_2_4_10,tabular,500,10,0.9,0.0,16.0,0.0,0.0,0.27201,0.06374,-0.40335,0.38785,0.01985,0.14089,0.02202,2.39922,0.00957,0.09465,0.18759,0.22806,0.24852,0.16821,0.05456,0.00818,0.00063,0.00002,0.64376,0.32741,0.0283,0.00052,4.0,7.0,3.0,5.5,8.0,5.5,1.0,2.0,4.0,7.0,3.0,5.5,8.0,5.5,1.0,2.0
base_2_5_10,tabular,500,10,0.9,0.0,28.0,0.0,0.0,0.21006,0.02024,-0.13567,0.40462,0.01876,0.13697,0.12076,2.65316,0.00488,0.06253,0.17138,0.25137,0.25987,0.1695,0.06491,0.01374,0.00172,0.0001,0.66181,0.30095,0.03602,0.00122,3.5,8.0,5.0,7.0,3.5,6.0,1.0,2.0,3.5,8.0,5.0,7.0,3.5,6.0,1.0,2.0
base_2_6_10,tabular,500,10,0.9,0.0,28.0,0.0,0.0,0.18651,0.10034,-0.17619,0.47097,0.02032,0.14255,-0.01489,2.7173,0.00159,0.0274,0.09681,0.18499,0.26177,0.24034,0.13483,0.04352,0.00807,0.00068,0.66895,0.28923,0.04104,0.00078,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0
base_2_7_10,tabular,500,10,0.9,0.0,0.01,0.0,0.0,0.27187,0.01378,-0.45787,0.43201,0.02114,0.14539,-0.01986,2.73875,0.00639,0.05868,0.12736,0.20782,0.27374,0.20407,0.09121,0.02587,0.0045,0.00037,0.67028,0.28755,0.04122,0.00095,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0
base_2_8_10,tabular,500,10,0.9,0.0,8.0,0.0,0.0,0.21116,0.11171,-0.45926,0.44832,0.01951,0.13969,-0.01234,2.84997,0.00305,0.04018,0.10766,0.20494,0.28447,0.22358,0.10091,0.02937,0.00535,0.00051,0.67929,0.27413,0.04532,0.00125,4.0,7.0,5.5,8.0,3.0,5.5,1.0,2.0,4.0,7.0,5.5,8.0,3.0,5.5,1.0,2.0
base_2_9_10,tabular,500,10,0.9,0.0,28.0,0.0,0.0,0.16414,-0.06736,-0.27094,0.4206,0.01585,0.12589,0.02784,3.04574,0.00375,0.0402,0.12462,0.26078,0.31116,0.18471,0.05972,0.01303,0.00183,0.00021,0.68706,0.26416,0.04632,0.00245,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0,4.0,8.0,5.0,7.0,3.0,6.0,1.0,2.0
base_3_10_10,tabular,500,10,0.9,0.0,0.01,0.0,0.0,0.12547,0.05424,-0.28645,0.43873,0.0161,0.12688,0.03453,2.94524,0.00195,0.02912,0.10911,0.23747,0.30708,0.21484,0.08063,0.01706,0.00249,0.00026,0.68248,0.27214,0.04328,0.0021,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0
base_3_2_10,tabular,500,10,0.9,0.0,0.02,0.0,0.0,0.13028,-0.04995,-0.02151,0.40298,0.01557,0.12477,0.26027,3.00979,0.00228,0.04168,0.16704,0.29561,0.27847,0.15194,0.04952,0.01159,0.00172,0.00015,0.67994,0.2771,0.03991,0.00305,3.0,8.0,5.0,6.0,2.0,7.0,1.0,4.0,3.0,8.0,5.0,6.0,2.0,7.0,1.0,4.0
base_3_3_10,tabular,500,10,0.9,0.0,14.0,0.0,0.0,0.1528,0.03104,-0.07985,0.42662,0.01905,0.13804,0.10683,2.6639,0.00301,0.04386,0.14527,0.2409,0.26412,0.19226,0.08604,0.02178,0.0026,0.00018,0.66474,0.29649,0.0378,0.00098,5.0,8.0,4.0,6.5,2.0,6.5,1.0,3.0,5.0,8.0,4.0,6.5,2.0,6.5,1.0,3.0
base_3_4_10,tabular,500,10,0.9,0.0,0.02,0.0,0.0,0.19733,-0.06724,-0.2443,0.44713,0.02071,0.14391,0.08051,2.68179,0.00273,0.03779,0.12394,0.21411,0.26087,0.21108,0.10911,0.03377,6,0.0006,0.6649,0.29604,0.03798,0.00108,4.0,8.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,8.0,5.0,7.0,2.0,6.0,1.0,3.0
base_3_5_10,tabular,500,10,0.9,0.0,0.01,0.0,0.0,0.14873,0.01697,-0.22314,0.40872,0.01507,0.12278,0.12436,2.86494,0.00228,0.03963,0.15218,0.28314,0.29366,0.16636,0.05255,0.00915,0.00096,0.00006,0.67448,0.28272,0.04088,0.00192,3.5,8.0,3.5,7.0,5.5,5.5,1.0,2.0,3.5,8.0,3.5,7.0,5.5,5.5,1.0,2.0
base_3_6_10,tabular,500,10,0.9,0.0,18.0,0.0,0.0,0.20273,0.09266,-0.3397,0.43395,0.01843,0.13575,0.04774,2.74358,0.00278,0.04001,0.12785,0.23198,0.27964,0.20545,0.08775,0.02149,0.00282,0.00023,0.67027,0.28782,0.04083,0.00109,3.0,7.0,4.0,8.0,2.0,6.0,1.0,5.0,3.0,7.0,4.0,8.0,2.0,6.0,1.0,5.0
base_3_7_10,tabular,500,10,0.9,0.0,26.0,0.0,0.0,0.15784,-0.06525,-0.20257,0.42739,0.0182,0.13492,0.0953,2.84518,0.00313,0.04275,0.13321,0.24313,0.2824,0.19333,0.07922,0.01921,0.00333,0.00029,0.67525,0.28142,0.04148,0.00184,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0
base_3_8_10,tabular,500,10,0.9,0.0,34.0,0.0,0.0,0.15016,0.05755,-0.19794,0.42585,0.01653,0.12856,0.07734,2.83287,0.00244,0.03586,0.13067,0.25585,0.29093,0.19511,0.07196,0.01513,0.00195,0.0001,0.67531,0.28136,0.04169,0.00164,4.0,8.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,8.0,5.0,7.0,2.0,6.0,1.0,3.0
base_3_9_10,tabular,500,10,0.9,0.0,16.0,0.0,0.0,0.18547,-0.07458,-0.29686,0.46161,0.01995,0.14123,-0.15273,2.7601,0.00354,0.03699,0.0982,0.17998,0.27097,0.24616,0.12539,0.03396,0.00456,0.00025,0.67406,0.2807,0.04463,0.00062,2.5,8.0,5.0,7.0,4.0,6.0,1.0,2.5,2.5,8.0,5.0,7.0,4.0,6.0,1.0,2.5
base_4_10_10,tabular,500,10,0.9,0.0,34.0,0.0,0.0,0.11004,-0.02721,-0.20797,0.37498,0.01347,0.11604,0.21458,3.09979,0.00463,0.05641,203,0.33234,0.26347,0.10933,0.02573,0.00438,0.00067,0.00004,0.68385,0.27154,0.04124,0.00337,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0
base_4_2_10,tabular,500,10,0.9,0.0,0.02,0.0,0.0,0.15985,0.03689,0.00018,0.3865,0.01502,0.12257,0.33363,3.03862,0.00288,0.04952,0.19983,0.31364,0.25651,0.1276,0.04016,0.00871,0.00106,0.0001,0.68005,0.27751,0.03899,0.00345,4.5,8.0,3.0,6.5,4.5,6.5,1.0,2.0,4.5,8.0,3.0,6.5,4.5,6.5,1.0,2.0
base_4_3_10,tabular,500,10,0.9,0.0,22.0,0.0,0.0,0.12806,0.13921,0.03969,0.42353,0.01588,0.12603,0.23872,2.92969,0.00123,0.02767,0.13887,0.27445,0.28936,0.18248,0.06704,0.01613,0.00257,0.0002,0.67754,0.28052,0.03923,0.00271,2.0,8.0,5.0,6.0,3.0,7.0,1.0,4.0,2.0,8.0,5.0,6.0,3.0,7.0,1.0,4.0
base_4_4_10,tabular,500,10,0.9,0.0,26.0,0.0,0.0,0.17584,-0.09158,-0.0755,0.38344,0.01449,0.12039,0.21266,2.93661,0.00296,0.05668,0.19655,0.3061,0.26894,0.12943,0.03283,0.0055,0.00094,0.00008,0.67329,0.28675,0.03701,0.00295,5.0,8.0,4.0,7.0,2.0,6.0,1.0,3.0,5.0,8.0,4.0,7.0,2.0,6.0,1.0,3.0
base_4_5_10,tabular,500,10,0.9,0.0,0.02,0.0,0.0,0.10991,0.01144,-0.16893,0.42311,0.01508,0.12282,0.19819,2.97385,0.00147,0.02663,0.13105,0.27873,0.30193,0.18026,0.06364,0.0142,0.00196,0.00014,0.68022,0.27582,0.04123,0.00273,3.0,8.0,5.0,7.0,2.0,6.0,1.0,4.0,3.0,8.0,5.0,7.0,2.0,6.0,1.0,4.0
base_4_6_10,tabular,500,10,0.9,0.0,8.0,0.0,0.0,0.22778,-0.04229,-0.41663,0.47778,0.02012,0.14184,-0.02199,2.69557,0.00084,0.02371,0.09191,0.17707,0.25754,0.2502,0.14265,0.04658,0.0087,0.00079,0.66822,0.28915,0.04189,0.00073,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0,5.0,7.0,4.0,8.0,2.0,6.0,1.0,3.0
base_4_7_10,tabular,500,10,0.9,0.0,12.0,0.0,0.0,0.1092,0.01257,-0.1768,0.43367,0.01714,0.13092,0.19212,2.87712,0.00191,0.02786,0.1272,0.25575,0.28551,0.19464,0.08204,0.02137,0.00344,0.00029,0.67549,0.28248,0.03979,0.00224,4.0,7.0,5.5,8.0,2.0,5.5,1.0,3.0,4.0,7.0,5.5,8.0,2.0,5.5,1.0,3.0
base_4_8_10,tabular,500,10,0.8,0.0,6.0,0.0,0.0,0.21791,-0.02993,-0.61863,0.52676,0.02346,0.15317,-0.54778,2.94575,0.00143,0.03347,0.07113,0.08345,0.18051,0.28382,0.23968,0.09057,0.01492,1,0.69388,0.25046,0.05541,0.00025,3.5,8.0,5.0,7.0,2.0,6.0,1.0,3.5,3.5,8.0,5.0,7.0,2.0,6.0,1.0,3.5
base_4_9_10,tabular,500,10,0.9,0.0,34.0,0.0,0.0,0.12312,0.05349,-0.04227,0.40553,0.0174,0.13191,0.2477,3.05751,0.00501,0.04739,0.16499,0.28051,0.2708,0.15633,0.05723,0.0142,0.00311,0.00042,0.68222,0.27343,0.04084,0.00351,5.0,8.0,4.0,7.0,2.0,6.0,1.0,3.0,5.0,8.0,4.0,7.0,2.0,6.0,1.0,3.0
base_5_10_10,tabular,500,10,0.9,0.0,16.0,0.0,0.0,0.13731,0.07092,-0.16394,0.45568,0.01819,0.13488,0.11189,2.8744,0.00125,0.0246,0.10113,0.21873,0.28799,0.22178,0.10667,0.03133,0.00587,0.00065,0.67646,0.27942,0.04222,0.0019,3.0,8.0,5.0,7.0,2.0,6.0,1.0,4.0,3.0,8.0,5.0,7.0,2.0,6.0,1.0,4.0
base_5_2_10,tabular,500,10,0.9,0.0,28.0,0.0,0.0,0.13516,-0.06145,0.1451,0.35273,0.01316,0.11472,0.41701,3.21705,0.00413,0.07633,0.26337,0.33539,0.21509,0.08105,0.02021,0.00386,0.0005,0.00007,0.68271,0.27495,0.03767,0.00467,4.5,8.0,4.5,7.0,2.0,6.0,1.0,3.0,4.5,8.0,4.5,7.0,2.0,6.0,1.0,3.0
base_5_3_10,tabular,500,10,0.9,0.0,0.02,0.0,0.0,0.11053,-0.00731,-0.07954,0.39801,0.01684,0.12975,0.35123,3.02572,0.00314,0.04755,0.18381,0.29702,0.25774,0.14051,0.05355,0.01412,0.00237,0.00019,0.6812,0.27546,0.03994,0.00339,5.0,8.0,3.5,7.0,3.5,6.0,1.0,2.0,5.0,8.0,3.5,7.0,3.5,6.0,1.0,2.0
base_5_4_10,tabular,500,10,0.9,0.0,22.0,0.0,0.0,0.11959,-0.01342,-0.03615,0.4074,0.01715,0.13097,0.20936,2.9353,0.00416,0.04681,0.16119,0.27768,0.27404,0.15967,0.05944,0.01455,0.00223,0.00022,0.6771,0.27947,0.04091,0.00253,3.5,8.0,6.0,7.0,2.0,5.0,1.0,3.5,3.5,8.0,6.0,7.0,2.0,5.0,1.0,3.5
